sports,country,league,id,team
fussball,spanien,la_liga,3,Las Palmas
fussball,spanien,la_liga,4,FC Barcelona
fussball,spanien,la_liga,5,RCD Mallorca
fussball,spanien,la_liga,6,Celta Vigo
fussball,spanien,la_liga,7,Cadiz
fussball,spanien,la_liga,8,FC Sevilla
fussball,spanien,la_liga,9,Atletico Madrid
fussball,spanien,la_liga,10,CF Getafe
fussball,spanien,la_liga,11,Athl. Bilbao
fussball,spanien,la_liga,12,CF Valencia
fussball,spanien,la_liga,13,FC Granada
fussball,spanien,la_liga,14,Alaves
fussball,spanien,la_liga,15,FC Girona
fussball,spanien,la_liga,16,CF Villarreal
fussball,spanien,la_liga,17,CA Osasuna
fussball,spanien,la_liga,18,Betis Sevilla
fussball,spanien,la_liga,19,Real Madrid
fussball,spanien,la_liga,20,Rayo Vallecano
fussball,spanien,la_liga_2,1,SD Eibar
fussball,spanien,la_liga_2,2,AD Alcorcon
fussball,spanien,la_liga_2,3,Cartagena
fussball,spanien,la_liga_2,4,Real Oviedo
fussball,spanien,la_liga_2,5,Levante
fussball,spanien,la_liga_2,6,CD Eldense
fussball,spanien,la_liga_2,7,CF Villarreal B
fussball,spanien,la_liga_2,8,FC Andorra
fussball,spanien,la_liga_2,9,Burgos CF
fussball,spanien,la_liga_2,10,Sporting Gijon
fussball,spanien,la_liga_2,11,Real Valladolid
fussball,spanien,la_liga_2,12,CD Mirandes
fussball,spanien,la_liga_2,13,Real Saragossa
fussball,spanien,la_liga_2,14,SD Amorebieta
fussball,spanien,la_liga_2,15,CD Leganes
fussball,spanien,la_liga_2,16,CD Tenerife
fussball,spanien,la_liga_2,17,Espanyol
fussball,spanien,la_liga_2,18,SD Huesca
fussball,spanien,la_liga_2,19,CF Elche
fussball,spanien,la_liga_2,20,Albacete
fussball,spanien,la_liga_2,21,Racing C. DE Ferrol
fussball,spanien,la_liga_2,22,Racing De Santander
