sports,country,league,team,id
fussball,portugal,primeira_liga,Casa Pia Lissabon,13
fussball,portugal,primeira_liga,Chaves,11
fussball,portugal,primeira_liga,Estoril,12
fussball,portugal,primeira_liga,Estoril Praia,12
fussball,portugal,primeira_liga,FC Arouca,7
fussball,portugal,primeira_liga,FC Famalicao,10
fussball,portugal,primeira_liga,FC Gil Vicente,8
fussball,portugal,primeira_liga,FC Porto,16
fussball,portugal,primeira_liga,FC Vizela,17
fussball,portugal,primeira_liga,GD Chaves,11
fussball,portugal,primeira_liga,Gil Vicente,8
fussball,portugal,primeira_liga,Gil Vicente Barcelos,8
fussball,portugal,primeira_liga,Gil Vicente FC,8
fussball,portugal,primeira_liga,Moreirense,2
fussball,portugal,primeira_liga,Moreirense FC,2
fussball,portugal,primeira_liga,Portimonense,9
fussball,portugal,primeira_liga,Portimonense SC,9
fussball,portugal,primeira_liga,Rio Ave,4
fussball,portugal,primeira_liga,Rio Ave FC,4
fussball,portugal,primeira_liga,SC Braga,14
fussball,portugal,primeira_liga,SC Farense,1
fussball,portugal,primeira_liga,SL Benfica,15
fussball,portugal,primeira_liga,Sporting Braga,14
fussball,portugal,primeira_liga,Sporting CP,5
fussball,portugal,primeira_liga,Sporting Farense,1
fussball,portugal,primeira_liga,Sporting Lisbon,5
fussball,portugal,primeira_liga,Sporting Lissabon,5
fussball,portugal,primeira_liga,Vit. Guimaraes,6
fussball,portugal,primeira_liga,Vitoria Guimaraes,6
fussball,portugal,segunda_liga,AVS Futebol SAD,4
fussball,portugal,segunda_liga,Acad. Viseu,1
fussball,portugal,segunda_liga,Academico De Viseu FC,1
fussball,portugal,segunda_liga,Academico Viseu,1
fussball,portugal,segunda_liga,Avs Futebol Sad,4
fussball,portugal,segunda_liga,Benfica 2,3
fussball,portugal,segunda_liga,Benfica Lisbon B,3
fussball,portugal,segunda_liga,Benfica Lissabon B,3
fussball,portugal,segunda_liga,CD Feirense,17
fussball,portugal,segunda_liga,CD Mafra,16
fussball,portugal,segunda_liga,CD Nacional,2
fussball,portugal,segunda_liga,CD Nacional Madeira,2
fussball,portugal,segunda_liga,CD Santa Clara,8
fussball,portugal,segunda_liga,CD Tondela,15
fussball,portugal,segunda_liga,CF Belenenses,6
fussball,portugal,segunda_liga,CF Os Belenenses,6
fussball,portugal,segunda_liga,CS Maritimo,14
fussball,portugal,segunda_liga,CS Maritimo Madeira,14
fussball,portugal,segunda_liga,FC Pacos Ferreira,5
fussball,portugal,segunda_liga,FC Pacos de Ferreira,5
fussball,portugal,segunda_liga,FC Penafiel,10
fussball,portugal,segunda_liga,FC Porto 2,7
fussball,portugal,segunda_liga,FC Porto B,7
fussball,portugal,segunda_liga,Leixoes,12
fussball,portugal,segunda_liga,Leixoes SC,12
fussball,portugal,segunda_liga,Maritimo,14
fussball,portugal,segunda_liga,Nacional Madeira,2
fussball,portugal,segunda_liga,Oliveirense,0
fussball,portugal,segunda_liga,Pacos Ferreira,5
fussball,portugal,segunda_liga,SCU Torreense,9
fussball,portugal,segunda_liga,SL Benfica B,3
fussball,portugal,segunda_liga,Santa Clara,8
fussball,portugal,segunda_liga,Santa Clara Azores,8
fussball,portugal,segunda_liga,Tondela,15
fussball,portugal,segunda_liga,Torreense,9
fussball,portugal,segunda_liga,UD Leiria,13
fussball,portugal,segunda_liga,UD Oliveirense,0
fussball,portugal,segunda_liga,Uniao Desportiva Oliveirense,0
fussball,portugal,segunda_liga,Uniao de Leiria,13
fussball,portugal,segunda_liga,Vilaverdense,11
fussball,spanien,la_liga,Alaves,14
fussball,spanien,la_liga,Athl. Bilbao,11
fussball,spanien,la_liga,Athletic Bilbao,11
fussball,spanien,la_liga,Atletico Madrid,9
fussball,spanien,la_liga,Betis Sevilla,18
fussball,spanien,la_liga,CA Osasuna,17
fussball,spanien,la_liga,CD Alaves,14
fussball,spanien,la_liga,CF Getafe,10
fussball,spanien,la_liga,CF Valencia,12
fussball,spanien,la_liga,CF Villarreal,16
fussball,spanien,la_liga,Cadiz,7
fussball,spanien,la_liga,Cadiz CF,7
fussball,spanien,la_liga,Celta Vigo,6
fussball,spanien,la_liga,Dep. Alaves,14
fussball,spanien,la_liga,Deportivo Alaves,14
fussball,spanien,la_liga,FC Barcelona,4
fussball,spanien,la_liga,FC Getafe,10
fussball,spanien,la_liga,FC Girona,15
fussball,spanien,la_liga,FC Granada,13
